0.0000000E+00  1.0000000E+00 -4.1424396E-01
1.6075103E-02  9.7776801E-01 -4.1796793E-01
3.2150206E-02  9.5648235E-01 -4.2134824E-01
4.8225309E-02  9.3606521E-01 -4.2439531E-01
6.4300412E-02  9.1644758E-01 -4.2717181E-01
9.6450617E-02  8.7937383E-01 -4.3171141E-01
1.2860082E-01  8.4484621E-01 -4.3504996E-01
1.6075103E-01  8.1253152E-01 -4.3731407E-01
2.0093879E-01  7.7484251E-01 -4.3868895E-01
2.4112654E-01  7.3976524E-01 -4.3856975E-01
2.8131430E-01  7.0696162E-01 -4.3710912E-01
3.2150206E-01  6.7615971E-01 -4.3441391E-01
3.4829390E-01  6.5662576E-01 -4.3198820E-01
3.7508573E-01  6.3782636E-01 -4.2920981E-01
4.2866941E-01  6.0224178E-01 -4.2231936E-01
4.8225309E-01  5.6907375E-01 -4.1399182E-01
5.4253472E-01  5.3432117E-01 -4.0322293E-01
6.0281636E-01  5.0198965E-01 -3.9126200E-01
6.6309799E-01  4.7183334E-01 -3.7839915E-01
7.2337963E-01  4.4364922E-01 -3.6487954E-01
7.8366127E-01  4.1726668E-01 -3.5091761E-01
8.4394290E-01  3.9253993E-01 -3.3669854E-01
9.0422454E-01  3.6934247E-01 -3.2238030E-01
9.6450617E-01  3.4756318E-01 -3.0808859E-01
1.0448817E+00  3.2056031E-01 -2.8927346E-01
1.1252572E+00  2.9569602E-01 -2.7092289E-01
1.2056327E+00  2.7278746E-01 -2.5318738E-01
1.2860082E+00  2.5167180E-01 -2.3617469E-01
1.3663837E+00  2.3220271E-01 -2.1995614E-01
1.4467593E+00  2.1424851E-01 -2.0451997E-01
1.5673225E+00  1.8989384E-01 -1.8301720E-01
1.6878858E+00  1.6831453E-01 -1.6346761E-01
1.8084491E+00  1.4919082E-01 -1.4577047E-01
1.9290123E+00  1.3224162E-01 -1.2982394E-01
2.0495756E+00  1.1721877E-01 -1.1550615E-01
2.1701389E+00  1.0390713E-01 -1.0247175E-01
2.4112654E+00  8.1636193E-02 -8.0739012E-02
2.6523920E+00  6.4140679E-02 -6.3599451E-02
2.8935185E+00  5.0392782E-02 -5.0053561E-02
3.1346451E+00  3.9589183E-02 -3.9371994E-02
3.3757716E+00  3.1098697E-02 -3.0961830E-02
3.6168981E+00  2.4425196E-02 -2.4346865E-02
3.8580247E+00  1.9178736E-02 -1.9147664E-02
4.0991512E+00  1.5052793E-02 -1.5063591E-02
4.3402778E+00  1.1855003E-02 -1.0642690E-02
5.7870370E+00  2.7387758E-03 -1.9775772E-03
8.6805556E+00  9.9337915E-05  5.9856781E-06
1.1574074E+01  2.7916680E-07  1.2009153E-06
2.3148148E+01 -6.5091443E-07  6.8290352E-07
3.4722222E+01 -2.3440360E-07  2.4236144E-07
4.6296296E+01 -8.5002634E-08  8.3904026E-08
5.7870370E+01 -3.5438820E-08  2.4140305E-08
6.9444444E+01 -4.4378281E-09  7.0743264E-10
1.3888889E+02 -6.6342791E-10  3.7349509E-10
2.0833333E+02 -4.0529726E-10  2.7545546E-10
3.1250000E+02 -2.4074449E-10  2.4085605E-10
4.1666667E+02 -2.1454481E-10  2.1464605E-10
5.2083333E+02 -1.9120163E-10  1.9128792E-10
6.2500000E+02 -1.7039872E-10  1.7047129E-10
7.2916667E+02 -1.5185973E-10  1.5191955E-10
8.3333333E+02 -1.3533825E-10  1.3538610E-10
9.3750000E+02 -1.2061490E-10  1.2065135E-10
1.0416667E+03 -1.0749394E-10  1.0751955E-10
1.1458333E+03 -9.5801185E-11  9.5816232E-11
1.2500000E+03 -8.5381189E-11  8.5385921E-11
1.3541667E+03 -7.6095533E-11  7.6089983E-11
1.4583333E+03 -6.7820886E-11  6.7805053E-11
1.5625000E+03 -6.0447255E-11  6.0420883E-11
1.6666667E+03 -5.3876745E-11  5.3839436E-11
1.7708333E+03 -4.8022030E-11  4.7973304E-11
1.8750000E+03 -4.2805334E-11  4.2744579E-11
1.9791667E+03 -3.8157306E-11  3.8083720E-11
2.0833333E+03 -3.4016224E-11  3.3928873E-11
2.1875000E+03 -3.0327091E-11  3.0224746E-11
2.2916667E+03 -2.7040847E-11  2.6922149E-11
2.3958333E+03 -2.4113913E-11  2.3977210E-11
2.5000000E+03 -2.1507346E-11  2.1350918E-11
2.6041667E+03 -1.9186497E-11  1.9008220E-11
2.7083333E+03 -1.7120562E-11  1.6918132E-11
2.8125000E+03 -1.5282072E-11  1.5052838E-11
2.9166667E+03 -1.3646609E-11  1.3387462E-11
3.0208333E+03 -1.2192468E-11  1.1899954E-11
3.1250000E+03 -1.0900319E-11  1.0570525E-11
3.2291667E+03 -9.7529796E-12  9.3815361E-12
